"","GSM4250514","GSM4250515","GSM4250516","GSM4250517","GSM4250518","GSM4250519","GSM4250520","GSM4250521","GSM4250522","GSM4250523","GSM4250524","GSM4250525","GSM4250526","GSM4250527","GSM4250528","GSM4250529","GSM4250530","GSM4250531","GSM4250532","GSM4250533","GSM4250534","GSM4250535","GSM4250536","GSM4250537","GSM4250538","GSM4250539","GSM4250540","GSM4250541","GSM4250542","GSM4250543","GSM4250544","GSM4250545","GSM4250546","GSM4250547","GSM4250548","GSM4250549"
"hsa-miR-761",5.0574502721839,4.89287670006069,4.96670731415032,4.70597790168252,5.44824022521607,5.05918219921169,4.58315800387441,4.84849775538515,5.1197711619529,5.0036022366802,4.85996954822103,5.09550251765867,5.07553263116736,4.99186193055632,5.09761079662642,4.79389588254888,5.05831649559082,5.09676785471469,5.18745105402733,5.23993261348524,4.85049941375812,5.21761848535105,5.06047978140759,5.46074256378964,5.33699741660501,4.75328361646088,5.39643353125099,4.67638025546692,5.08915913191124,5.49313492230551,5.06134418828839,5.16390121381454,5.41515020542639,5.24792751344359,4.94345253855882,5.23878685958712
"hsa-miR-764",5.0574502721839,4.89287670006069,4.96670731415032,4.70597790168252,5.44824022521607,5.05918219921169,4.58315800387441,4.84849775538515,5.1197711619529,5.0036022366802,4.85996954822103,5.09550251765867,5.07553263116736,4.99186193055632,5.09761079662642,4.84096670448742,5.05831649559082,5.09676785471469,5.18745105402733,5.23993261348524,4.85049941375812,5.21761848535105,5.06047978140759,5.46074256378964,5.33699741660501,4.75328361646088,5.39643353125099,4.67638025546692,5.08915913191124,5.49313492230551,5.06134418828839,5.16390121381454,5.41515020542639,5.24792751344359,4.94345253855882,5.23878685958712
"hsa-miR-765",5.0574502721839,4.89287670006069,4.96670731415032,4.70597790168252,5.44824022521607,5.05918219921169,4.58315800387441,4.84849775538515,5.1197711619529,5.0036022366802,4.85996954822103,5.09550251765867,5.07553263116736,4.99186193055632,5.09761079662642,4.79389588254888,5.05831649559082,5.09676785471469,5.18745105402733,5.23993261348524,4.85049941375812,5.21761848535105,5.06047978140759,5.46074256378964,5.33699741660501,4.75328361646088,5.39643353125099,4.67638025546692,5.08915913191124,5.49313492230551,5.06134418828839,5.16390121381454,5.41515020542639,5.24792751344359,4.94345253855882,5.23878685958712
"hsa-miR-766-3p",5.0574502721839,4.89287670006069,4.96670731415032,4.70597790168252,5.44824022521607,5.05918219921169,4.58315800387441,4.84849775538515,5.1197711619529,5.0036022366802,4.85996954822103,5.09550251765867,5.07553263116736,4.99186193055632,5.09761079662642,4.79389588254888,5.05831649559082,5.09676785471469,5.18745105402733,5.23993261348524,4.85049941375812,5.21761848535105,5.06047978140759,5.46074256378964,5.33699741660501,4.75328361646088,5.39643353125099,4.67638025546692,5.08915913191124,5.49313492230551,5.06134418828839,5.16390121381454,5.41515020542639,5.24792751344359,4.94345253855882,5.23878685958712
"hsa-miR-766-5p",5.0574502721839,4.89287670006069,4.96670731415032,4.70597790168252,5.44824022521607,5.05918219921169,4.58315800387441,4.84849775538515,5.1197711619529,5.0036022366802,4.85996954822103,5.09550251765867,5.07553263116736,4.99186193055632,5.09761079662642,4.79389588254888,5.05831649559082,5.09676785471469,5.18745105402733,5.23993261348524,4.85049941375812,5.21761848535105,5.06047978140759,5.46074256378964,5.33699741660501,4.75328361646088,5.39643353125099,4.67638025546692,5.08915913191124,5.49313492230551,5.06134418828839,5.16390121381454,5.41515020542639,5.24792751344359,4.94345253855882,5.23878685958712
"hsa-miR-767-3p",5.0574502721839,4.89287670006069,4.96670731415032,4.70597790168252,5.44824022521607,5.05918219921169,4.58315800387441,4.84849775538515,5.1197711619529,5.0036022366802,4.85996954822103,5.09550251765867,5.07553263116736,4.99186193055632,5.09761079662642,4.79389588254888,5.05831649559082,5.09676785471469,5.18745105402733,5.23993261348524,4.85049941375812,5.21761848535105,5.06047978140759,5.46074256378964,5.33699741660501,4.75328361646088,5.39643353125099,4.67638025546692,5.08915913191124,5.49313492230551,5.06134418828839,5.16390121381454,5.41515020542639,5.24792751344359,4.94345253855882,5.23878685958712
"hsa-miR-767-5p",5.0574502721839,4.89287670006069,4.96670731415032,4.70597790168252,5.44824022521607,5.05918219921169,4.58315800387441,4.84849775538515,5.1197711619529,5.0036022366802,4.85996954822103,5.09550251765867,5.07553263116736,4.99186193055632,5.09761079662642,4.79389588254888,5.05831649559082,5.09676785471469,5.18745105402733,5.23993261348524,4.85049941375812,5.21761848535105,5.06047978140759,5.46074256378964,5.33699741660501,4.75328361646088,5.39643353125099,5.06091204958787,5.08915913191124,5.49313492230551,5.06134418828839,5.16390121381454,5.41515020542639,5.24792751344359,4.94345253855882,5.23878685958712
"hsa-miR-769-3p",5.0574502721839,4.89287670006069,4.96670731415032,4.70597790168252,5.44824022521607,5.05918219921169,4.58315800387441,4.84849775538515,5.1197711619529,5.0036022366802,4.85996954822103,5.09550251765867,5.07553263116736,4.99186193055632,5.09761079662642,4.79389588254888,5.05831649559082,5.09676785471469,5.18745105402733,5.23993261348524,4.85049941375812,5.21761848535105,5.06047978140759,5.46074256378964,5.33699741660501,4.75328361646088,5.39643353125099,4.67638025546692,5.08915913191124,5.49313492230551,5.06134418828839,5.16390121381454,5.41515020542639,5.24792751344359,4.94345253855882,5.23878685958712
"hsa-miR-769-5p",5.0574502721839,4.89287670006069,4.96670731415032,4.70597790168252,5.44824022521607,5.05918219921169,4.58315800387441,4.84849775538515,5.1197711619529,5.0036022366802,4.85996954822103,5.09550251765867,5.07553263116736,4.99186193055632,5.09761079662642,4.79389588254888,5.05831649559082,5.09676785471469,5.18745105402733,5.23993261348524,4.85049941375812,5.21761848535105,5.06047978140759,5.46074256378964,5.33699741660501,4.75328361646088,5.39643353125099,4.67638025546692,5.08915913191124,5.49313492230551,5.06134418828839,5.16390121381454,5.41515020542639,5.24792751344359,4.94345253855882,5.23878685958712
"hsa-miR-770-5p",5.0574502721839,4.89287670006069,4.96670731415032,4.70597790168252,5.44824022521607,5.05918219921169,4.58315800387441,4.84849775538515,5.1197711619529,5.0036022366802,4.85996954822103,5.09550251765867,5.07553263116736,4.99186193055632,5.09761079662642,4.79389588254888,5.05831649559082,5.09676785471469,5.18745105402733,5.23993261348524,4.85049941375812,5.21761848535105,5.06047978140759,5.46074256378964,5.33699741660501,4.75328361646088,5.39643353125099,4.67638025546692,5.08915913191124,5.49313492230551,5.06134418828839,5.16390121381454,5.41515020542639,5.24792751344359,4.94345253855882,5.23878685958712
"hsa-miR-802",5.0574502721839,4.89287670006069,4.96670731415032,4.70597790168252,5.44824022521607,5.05918219921169,4.58315800387441,4.84849775538515,5.1197711619529,5.0036022366802,4.85996954822103,5.09550251765867,5.07553263116736,4.99186193055632,5.09761079662642,4.79389588254888,5.05831649559082,5.09676785471469,5.18745105402733,5.23993261348524,4.85049941375812,5.21761848535105,5.06047978140759,5.46074256378964,5.33699741660501,4.75328361646088,5.39643353125099,4.67638025546692,5.08915913191124,5.49313492230551,5.06134418828839,5.16390121381454,5.41515020542639,5.24792751344359,4.94345253855882,5.23878685958712
"hsa-miR-873-3p",5.0574502721839,4.89287670006069,4.96670731415032,4.97223312380739,5.44824022521607,5.05918219921169,4.9676297534662,4.84849775538515,5.1197711619529,5.30597052098439,4.85996954822103,5.09550251765867,5.07553263116736,5.11144869848767,5.09761079662642,4.79389588254888,5.05831649559082,5.09676785471469,5.18745105402733,5.23993261348524,4.85049941375812,5.21761848535105,5.06047978140759,5.46074256378964,5.33699741660501,4.75328361646088,5.39643353125099,4.90255600534463,5.08915913191124,5.49313492230551,5.06134418828839,5.16390121381454,5.41515020542639,5.24792751344359,4.94345253855882,5.23878685958712
"hsa-miR-873-5p",5.0574502721839,4.89287670006069,4.96670731415032,4.70597790168252,5.44824022521607,5.05918219921169,4.58315800387441,4.84849775538515,5.1197711619529,5.0036022366802,4.85996954822103,5.09550251765867,5.07553263116736,4.99186193055632,5.09761079662642,4.79389588254888,5.05831649559082,5.09676785471469,5.18745105402733,5.23993261348524,4.85049941375812,5.21761848535105,5.06047978140759,5.46074256378964,5.33699741660501,4.75328361646088,5.39643353125099,4.67638025546692,5.08915913191124,5.49313492230551,5.06134418828839,5.16390121381454,5.41515020542639,5.24792751344359,4.94345253855882,5.23878685958712
"hsa-miR-874-3p",5.0574502721839,4.89287670006069,4.96670731415032,4.70597790168252,5.44824022521607,5.05918219921169,4.58315800387441,4.84849775538515,5.1197711619529,5.0036022366802,4.85996954822103,5.09550251765867,5.07553263116736,4.99186193055632,5.09761079662642,4.79389588254888,5.05831649559082,5.09676785471469,5.18745105402733,5.23993261348524,4.85049941375812,5.21761848535105,5.06047978140759,5.46074256378964,5.33699741660501,4.75328361646088,5.39643353125099,4.67638025546692,5.08915913191124,5.49313492230551,5.06134418828839,5.16390121381454,5.41515020542639,5.24792751344359,4.94345253855882,5.23878685958712
"hsa-miR-874-5p",5.0574502721839,4.89287670006069,4.96670731415032,4.70597790168252,5.44824022521607,5.05918219921169,4.58315800387441,4.84849775538515,5.1197711619529,5.0036022366802,4.85996954822103,5.09550251765867,5.07553263116736,4.99186193055632,5.09761079662642,4.79389588254888,5.05831649559082,5.09676785471469,5.18745105402733,5.23993261348524,4.85049941375812,5.21761848535105,5.06047978140759,5.46074256378964,5.33699741660501,4.75328361646088,5.39643353125099,4.67638025546692,5.08915913191124,5.49313492230551,5.06134418828839,5.16390121381454,5.41515020542639,5.24792751344359,4.94345253855882,5.23878685958712
"hsa-miR-875-3p",5.0574502721839,4.89287670006069,4.96670731415032,4.70597790168252,5.44824022521607,5.05918219921169,4.58315800387441,4.84849775538515,5.1197711619529,5.0036022366802,4.85996954822103,5.09550251765867,5.07553263116736,4.99186193055632,5.09761079662642,4.79389588254888,5.05831649559082,5.09676785471469,5.18745105402733,5.23993261348524,4.85049941375812,5.21761848535105,5.06047978140759,5.46074256378964,5.33699741660501,4.75328361646088,5.39643353125099,4.67638025546692,5.08915913191124,5.49313492230551,5.06134418828839,5.16390121381454,5.41515020542639,5.24792751344359,4.94345253855882,5.23878685958712
"hsa-miR-876-3p",5.0574502721839,4.89287670006069,4.96670731415032,4.70597790168252,5.44824022521607,5.05918219921169,4.58315800387441,4.84849775538515,5.1197711619529,5.0036022366802,4.85996954822103,5.09550251765867,5.07553263116736,4.99186193055632,5.09761079662642,4.79389588254888,5.05831649559082,5.09676785471469,5.18745105402733,5.23993261348524,4.85049941375812,5.21761848535105,5.06047978140759,5.46074256378964,5.33699741660501,4.75328361646088,5.39643353125099,4.67638025546692,5.08915913191124,5.49313492230551,5.06134418828839,5.16390121381454,5.41515020542639,5.24792751344359,4.94345253855882,5.23878685958712
"hsa-miR-876-5p",5.0574502721839,4.89287670006069,4.96670731415032,4.70597790168252,5.44824022521607,5.05918219921169,4.58315800387441,4.84849775538515,5.1197711619529,5.0036022366802,4.85996954822103,5.09550251765867,5.07553263116736,4.99186193055632,5.09761079662642,4.79389588254888,5.05831649559082,5.09676785471469,5.18745105402733,5.23993261348524,4.85049941375812,5.21761848535105,5.06047978140759,5.46074256378964,5.33699741660501,4.75328361646088,5.39643353125099,4.67638025546692,5.08915913191124,5.49313492230551,5.06134418828839,5.16390121381454,5.41515020542639,5.24792751344359,4.94345253855882,5.23878685958712
"hsa-miR-877-5p",5.0574502721839,4.89287670006069,4.96670731415032,4.70597790168252,5.44824022521607,5.05918219921169,4.58315800387441,4.84849775538515,5.1197711619529,5.0036022366802,4.85996954822103,5.09550251765867,5.07553263116736,4.99186193055632,5.09761079662642,4.79389588254888,5.05831649559082,5.09676785471469,5.18745105402733,5.23993261348524,4.85049941375812,5.21761848535105,5.06047978140759,5.46074256378964,5.33699741660501,4.75328361646088,5.39643353125099,4.67638025546692,5.08915913191124,5.49313492230551,5.06134418828839,5.16390121381454,5.41515020542639,5.24792751344359,4.94345253855882,5.23878685958712
"hsa-miR-885-3p",5.0574502721839,4.89287670006069,4.96670731415032,4.70597790168252,5.44824022521607,5.05918219921169,4.58315800387441,4.84849775538515,5.1197711619529,5.0036022366802,4.85996954822103,5.09550251765867,5.07553263116736,4.99186193055632,5.09761079662642,4.79389588254888,5.05831649559082,5.09676785471469,5.18745105402733,5.23993261348524,4.85049941375812,5.21761848535105,5.06047978140759,5.46074256378964,5.33699741660501,4.75328361646088,5.39643353125099,4.67638025546692,5.08915913191124,5.49313492230551,5.06134418828839,5.16390121381454,5.41515020542639,5.24792751344359,4.94345253855882,5.23878685958712
"hsa-miR-885-5p",5.0574502721839,4.89287670006069,4.96670731415032,4.70597790168252,5.44824022521607,5.05918219921169,4.58315800387441,4.84849775538515,5.1197711619529,5.0036022366802,4.85996954822103,5.09550251765867,5.07553263116736,4.99186193055632,5.09761079662642,4.79389588254888,5.05831649559082,5.09676785471469,5.18745105402733,5.23993261348524,4.85049941375812,5.21761848535105,5.06047978140759,5.46074256378964,5.33699741660501,4.75328361646088,5.39643353125099,4.67638025546692,5.08915913191124,5.49313492230551,5.06134418828839,5.16390121381454,5.41515020542639,5.24792751344359,4.94345253855882,5.23878685958712
"hsa-miR-887-3p",5.0574502721839,4.89287670006069,4.96670731415032,4.70597790168252,5.44824022521607,5.05918219921169,4.58315800387441,4.84849775538515,5.1197711619529,5.0036022366802,4.85996954822103,5.09550251765867,5.07553263116736,4.99186193055632,5.09761079662642,4.79389588254888,5.05831649559082,5.09676785471469,5.18745105402733,5.23993261348524,4.85049941375812,5.21761848535105,5.06047978140759,5.46074256378964,5.33699741660501,4.75328361646088,5.39643353125099,4.67638025546692,5.08915913191124,5.49313492230551,5.06134418828839,5.16390121381454,5.41515020542639,5.24792751344359,4.94345253855882,5.23878685958712
"hsa-miR-887-5p",5.0574502721839,5.26528685756517,4.96670731415032,4.97223312380739,5.44824022521607,5.05918219921169,4.9676297534662,5.19770815795585,5.1197711619529,5.0036022366802,4.85996954822103,5.09550251765867,5.07553263116736,5.11144869848767,5.09761079662642,4.79389588254888,5.05831649559082,5.09676785471469,5.18745105402733,5.23993261348524,5.12060077384517,5.21761848535105,5.06047978140759,5.46074256378964,5.33699741660501,5.14730669878029,5.39643353125099,4.67638025546692,5.08915913191124,5.49313492230551,5.06134418828839,5.16390121381454,5.41515020542639,5.26341005875634,4.94345253855882,5.23878685958712
"hsa-miR-888-5p",5.0574502721839,4.89287670006069,4.96670731415032,4.70597790168252,5.44824022521607,5.05918219921169,4.9676297534662,4.84849775538515,5.1197711619529,5.0036022366802,4.85996954822103,5.09550251765867,5.07553263116736,4.99186193055632,5.09761079662642,4.79389588254888,5.05831649559082,5.09676785471469,5.18745105402733,5.23993261348524,4.85049941375812,5.21761848535105,5.06047978140759,5.46074256378964,5.33699741660501,5,5.39643353125099,4.67638025546692,5.08915913191124,5.49313492230551,5.06134418828839,5.16390121381454,5.41515020542639,5.24792751344359,4.94345253855882,5.23878685958712
"hsa-miR-889-3p",5.0574502721839,4.89287670006069,4.96670731415032,4.70597790168252,5.44824022521607,5.05918219921169,4.58315800387441,4.84849775538515,5.1197711619529,5.0036022366802,4.85996954822103,5.09550251765867,5.07553263116736,4.99186193055632,5.09761079662642,4.79389588254888,5.05831649559082,5.09676785471469,5.18745105402733,5.23993261348524,4.85049941375812,5.21761848535105,5.06047978140759,5.46074256378964,5.33699741660501,4.75328361646088,5.39643353125099,4.67638025546692,5.08915913191124,5.49313492230551,5.06134418828839,5.16390121381454,5.41515020542639,5.24792751344359,4.94345253855882,5.23878685958712
"hsa-miR-890",5.0574502721839,4.89287670006069,4.96670731415032,4.70597790168252,5.44824022521607,5.05918219921169,4.58315800387441,4.84849775538515,5.1197711619529,5.0036022366802,4.85996954822103,5.09550251765867,5.07553263116736,4.99186193055632,5.09761079662642,4.79389588254888,5.05831649559082,5.09676785471469,5.18745105402733,5.23993261348524,4.85049941375812,5.21761848535105,5.06047978140759,5.46074256378964,5.33699741660501,4.75328361646088,5.39643353125099,4.67638025546692,5.08915913191124,5.49313492230551,5.06134418828839,5.16390121381454,5.41515020542639,5.24792751344359,4.94345253855882,5.23878685958712
"hsa-miR-891a-5p",5.0574502721839,4.89287670006069,4.96670731415032,4.70597790168252,5.44824022521607,5.05918219921169,4.58315800387441,4.84849775538515,5.1197711619529,5.0036022366802,4.85996954822103,5.09550251765867,5.07553263116736,4.99186193055632,5.09761079662642,4.79389588254888,5.05831649559082,5.09676785471469,5.18745105402733,5.23993261348524,4.85049941375812,5.21761848535105,5.06047978140759,5.46074256378964,5.33699741660501,4.75328361646088,5.39643353125099,4.67638025546692,5.08915913191124,5.49313492230551,5.06134418828839,5.16390121381454,5.41515020542639,5.24792751344359,4.94345253855882,5.23878685958712
